,0
567,CA1
568,VISa
569,TH
570,TH
571,VISa
572,CA1
573,TH
574,TH
575,TH
576,CA1
577,CA1
578,TH
579,DG
580,TH
581,TH
582,VISa
583,VISa
584,CA1
585,TH
586,DG
587,TH
588,CA1
589,TH
590,TH
591,CA1
592,TH
593,VISa
594,TH
595,TH
596,CA1
597,DG
598,CA1
599,DG
600,TH
601,CA1
602,TH
603,CA1
604,TH
605,CA1
606,CA1
607,DG
608,CA1
609,CA1
610,TH
611,VISa
612,VISa
613,TH
614,VISa
615,CA1
616,VISa
617,VISa
618,TH
619,DG
620,CA1
621,DG
622,TH
623,CA1
624,CA1
625,TH
626,TH
627,CA1
628,TH
629,TH
630,VISa
631,DG
632,CA1
633,CA1
634,TH
635,TH
636,CA1
637,VISa
638,VISa
639,TH
640,TH
641,TH
642,DG
643,CA1
644,VISa
645,DG
646,DG
647,DG
648,CA1
649,TH
650,TH
651,CA1
652,DG
653,DG
654,TH
655,VISa
656,TH
657,CA1
658,TH
659,CA1
660,CA1
661,CA1
662,DG
663,TH
664,VISa
665,TH
666,CA1
667,CA1
668,DG
669,DG
670,CA1
671,VISa
672,TH
673,VISa
674,VISa
675,CA1
676,TH
677,TH
678,VISa
679,CA1
680,CA1
681,TH
682,CA1
683,DG
684,VISa
685,VISa
686,VISa
687,CA1
688,TH
689,TH
690,VISa
691,TH
692,CA1
693,CA1
694,DG
695,CA1
696,TH
697,VISa
698,TH
699,TH
700,TH
701,DG
702,DG
703,VISa
704,TH
705,DG
706,DG
707,CA1
708,CA1
709,DG
710,VISa
711,DG
712,CA1
713,DG
714,CA1
715,DG
716,DG
717,TH
718,TH
719,CA1
720,TH
721,VISa
722,DG
723,TH
724,CA1
725,TH
726,TH
727,CA1
728,TH
729,VISa
730,TH
731,VISa
732,TH
733,CA1
734,VISa
735,CA1
736,TH
737,TH
738,TH
739,CA1
740,CA1
741,CA1
742,DG
743,TH
744,TH
745,TH
746,TH
747,VISa
748,DG
749,VISa
750,VISa
751,VISa
752,VISa
753,DG
754,VISa
755,TH
756,TH
757,VISa
758,VISa
759,DG
760,DG
761,VISa
762,VISa
763,CA1
764,TH
765,VISa
766,CA1
767,CA1
768,VISa
769,DG
770,TH
771,CA1
772,VISa
773,CA1
774,TH
775,DG
776,VISa
777,CA1
778,VISa
779,DG
780,CA1
781,CA1
782,TH
783,TH
784,TH
785,TH
786,TH
787,CA1
788,CA1
789,DG
790,VISa
791,VISa
792,DG
793,TH
794,TH
795,VISa
796,TH
797,CA1
798,CA1
799,CA1
800,TH
801,TH
802,DG
803,CA1
804,VISa
805,VISa
806,TH
807,VISa
808,VISa
809,VISa
810,TH
811,CA1
812,CA1
813,TH
814,TH
815,TH
816,TH
817,TH
818,TH
819,CA1
820,TH
821,TH
822,DG
823,DG
824,TH
825,TH
826,CA1
827,TH
828,VISa
829,VISa
830,CA1
831,DG
832,DG
833,TH
834,CA1
835,VISa
836,TH
837,DG
838,CA1
839,DG
840,VISa
841,CA1
842,DG
843,DG
844,VISa
845,CA1
846,TH
847,CA1
848,TH
849,CA1
850,VISa
851,TH
852,VISa
853,CA1
854,DG
855,TH
856,TH
857,VISa
858,TH
859,VISa
860,TH
861,CA1
862,CA1
863,CA1
864,TH
865,TH
866,CA1
867,TH
868,TH
869,DG
870,TH
871,CA1
872,VISa
873,CA1
874,TH
875,CA1
876,DG
877,VISa
878,VISa
879,CA1
880,CA1
881,VISa
882,TH
883,VISa
884,VISa
885,TH
886,DG
887,VISa
888,TH
889,CA1
890,CA1
891,CA1
892,VISa
893,DG
894,DG
895,DG
896,VISa
897,TH
898,DG
899,CA1
900,DG
901,VISa
902,DG
903,TH
904,CA1
905,VISa
906,VISa
907,TH
908,CA1
909,TH
910,VISa
911,CA1
912,DG
913,DG
914,TH
915,TH
916,TH
917,CA1
918,TH
919,TH
920,DG
921,TH
922,DG
923,TH
924,VISa
925,TH
926,VISa
927,DG
928,DG
929,TH
930,CA1
931,VISa
932,TH
933,VISa
934,VISa
935,TH
936,TH
937,CA1
938,LSr
939,ACA
940,ACA
941,LSr
942,LSr
943,LSr
944,ACA
945,LSr
946,LSr
947,MOs
948,LSr
949,ACA
950,ACA
951,ACA
952,LSr
953,LSr
954,MOs
955,ACA
956,LSr
957,LSr
958,MOs
959,LSr
960,ACA
961,ACA
962,ACA
963,LSr
964,ACA
965,ACA
966,ACA
967,LSr
968,ACA
969,ACA
970,LSr
971,MOs
972,ACA
973,LSr
974,LSr
975,ACA
976,ACA
977,ACA
978,ACA
979,MOs
980,LSr
981,LSr
982,MOs
983,MOs
984,LSr
985,MOs
986,ACA
987,LSr
988,ACA
989,LSr
990,LSr
991,LSr
992,ACA
993,ACA
994,LSr
995,LSr
996,MOs
997,LSr
998,LSr
999,ACA
1000,ACA
1001,LSr
